

REV20201030LB11
央视©卫视©高清,#genre#
CCTV-1高清,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-2高清,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3高清,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-4高清,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-5+高清,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV-6高清,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-7高清,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-8高清,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9高清,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-10高清,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-12高清,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-13高清,http://ivi.bupt.edu.cn/hls/cctv13hd.m3u8
CCTV-14高清,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-17高清,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
CGTN高清,http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8
CGTN DOC高清,http://ivi.bupt.edu.cn/hls/cgtndochd.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8

北京卫视高清,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京文艺高清,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京影视高清,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
北京新闻高清,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
北京卡酷少儿高清,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
北京冬奥纪实高清,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
湖南卫视高清,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
江苏卫视高清,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视高清,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
安徽卫视高清,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
黑龙江卫视高清,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
辽宁卫视高清,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
深圳卫视高清,http://ivi.bupt.edu.cn/hls/szhd.m3u8
广东卫视高清,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
天津卫视高清,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
湖北卫视高清,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
山东卫视高清,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
重庆卫视高清,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
上海纪实高清,http://ivi.bupt.edu.cn/hls/docuchina.m3u8
金鹰纪实高清,http://ivi.bupt.edu.cn/hls/gedocu.m3u8
福建东南卫视高清,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
四川卫视高清,http://ivi.bupt.edu.cn/hls/schd.m3u8
河北卫视高清,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
江西卫视高清,http://ivi.bupt.edu.cn/hls/jxhd.m3u8
河南卫视高清,http://ivi.bupt.edu.cn/hls/hnhd.m3u8
广西卫视高清,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
吉林卫视高清,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
CETV-1高清,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8
海南卫视高清,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
贵州卫视高清,http://ivi.bupt.edu.cn/hls/gzhd.m3u8

央视©卫视,#genre#
CCTV-1综合,http://ivi.bupt.edu.cn/hls/cctv1.m3u8
CCTV-2财经,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV-3综艺,http://ivi.bupt.edu.cn/hls/cctv3.m3u8
CCTV-4中文国际,http://ivi.bupt.edu.cn/hls/cctv4.m3u8
CCTV-6电影,http://ivi.bupt.edu.cn/hls/cctv6.m3u8
CCTV-7国防军事,http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV-8电视剧,http://ivi.bupt.edu.cn/hls/cctv8.m3u8
CCTV-9纪录,http://ivi.bupt.edu.cn/hls/cctv9.m3u8
CCTV-10科教,http://ivi.bupt.edu.cn/hls/cctv10.m3u8
CCTV-11戏曲,http://ivi.bupt.edu.cn/hls/cctv11.m3u8
CCTV-12社会与法,http://ivi.bupt.edu.cn/hls/cctv12.m3u8
CCTV-13新闻,http://ivi.bupt.edu.cn/hls/cctv13.m3u8
CCTV-14少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV-15音乐,http://ivi.bupt.edu.cn/hls/cctv15.m3u8
CGTN,http://ivi.bupt.edu.cn/hls/cctv16.m3u8
CCTV-17农业农村,http://ivi.bupt.edu.cn/hls/cctv17.m3u8

北京卫视,http://ivi.bupt.edu.cn/hls/btv1.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京卡酷少儿,http://ivi.bupt.edu.cn/hls/btv10.m3u8
北京冬奥纪实,http://ivi.bupt.edu.cn/hls/btv11.m3u8
湖南卫视,http://ivi.bupt.edu.cn/hls/hunantv.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jstv.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dftv.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/sztv.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahtv.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jltv.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdtv.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdtv.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxtv.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebtv.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/sctv.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lntv.m3u8
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljtv.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
福建东南卫视,http://ivi.bupt.edu.cn/hls/dntv.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gztv.m3u8
宁夏卫视,http://ivi.bupt.edu.cn/hls/nxtv.m3u8
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqtv.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8
延边卫视,http://ivi.bupt.edu.cn/hls/ybtv.m3u8
三沙卫视,http://ivi.bupt.edu.cn/hls/sstv.m3u8
海南卫视,http://ivi.bupt.edu.cn/hls/lytv.m3u8
CETV-1,http://ivi.bupt.edu.cn/hls/cetv1.m3u8
CETV-3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8
CETV-4,http://ivi.bupt.edu.cn/hls/cetv4.m3u8
山东教育,http://ivi.bupt.edu.cn/hls/sdetv.m3u8


INDONESIA,#genre#
Bali TV,http://hi.hi-back.masuk.web.id/c.m3u8?shinta=GoodBye&coday=ffd67d44870fda644560c47682a87a73&cdy=33e75ff09dd601bbe69f3510391521890fb3069a97a8fb9df1d75e6456ecef11
Bali TV,https://cdn-telkomsel-01.akamaized.net/Content/HLS/Live/channel(8e867ae0-b2c0-4968-9f60-a11aee8c0987)/05.m3u8
Bali TV,http://tigerfights.xyz:2052/billy/billy/1109830
ANTV,http://210.210.155.35:80/session/b4c56c5c-7ee3-11ea-aecc-c81f66f89318/qwr9ew/s/s07/01.m3u8
ANTV,http://portal.geniptv.com:8080/greenpoison8/GZprWONABH/62297
ANTV,http://tigerfights.xyz:2052/billy/billy/1109798
CNN Indonesia,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/playlist.m3u8
CNN Indonesia,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/chunklist_w1653751824_b384000_sleng.m3u8
CNN Indonesia,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/eroz_brebes.m3u8
CNBC Indonesia,https://live.cnbcindonesia.com/livecnbc/smil:cnbctv.smil/playlist.m3u8
CNBC Indonesia,https://live.cnbcindonesia.com/livecnbc/smil:cnbctv.smil/eroz_brebes.m3u8
CNBC Indonesia,http://tigerfights.xyz:2052/billy/billy/1109740
Berita Satu,http://hi.hi-back.masuk.web.id/c.m3u8?shinta=GoodBye&coday=ffd67d44870fda644560c47682a87a73&cdy=1ff1de774005f8da13f42943881c655f0fb3069a97a8fb9df1d75e6456ecef11
Berita Satu,http://edge.linknetott.swiftserve.com/live/BsNew/amlst:beritasatunewsbs/chunklist_b1128000.m3u8?app_type=web&userid=50n13N0v14nd1&tkn=829341hrjhaq0q30q&chname=BeritaSatu
Berita Satu,http://edge.linknetott.swiftserve.com/live/BsNew/amlst:beritasatunewsbs/playlist.m3u8
Berita Satu,http://tigerfights.xyz:2052/billy/billy/1109860
Berita Satu WORLD,https://b1world.beritasatumedia.com/Beritasatu/B1World_1280x720.m3u8?aux=eroz_brebes.m3u8
Daai TV,http://hi.hi-back.masuk.web.id/c.m3u8?shinta=GoodBye&coday=ffd67d44870fda644560c47682a87a73&cdy=54229abfcfa5649e7003b83dd47552940fb3069a97a8fb9df1d75e6456ecef11
Daai TV,http://hi.hi-back.masuk.web.id/c.m3u8?shinta=GoodBye&coday=f846bc691110108f73cb55c2f4049864&cdy=889091ff744069cab08dc605d162a8d3e0cf1f47118daebc5b16269099ad7347
